plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling
54,L,future,O,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,,,1,,,
54,L,future,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,1,,
55,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
55,E,future,I,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
56,EL,future,O,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,
56,EL,future,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
57,FL,ambient,O,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
57,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,F,ambient,O,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
58,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,C,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,
59,C,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
60,L,ambient,O,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,
60,L,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,
61,EFL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
61,EFL,ambient,I,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,1,,1,
62,EF,ambient,O,1,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,
62,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,1,,,
63,EL,ambient,O,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
63,EL,ambient,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
64,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
64,E,ambient,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
65,EF,future,O,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,
65,EF,future,I,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,
66,EFL,future,O,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,1,,,,
66,EFL,future,I,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,1
67,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
67,F,future,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
68,FL,future,O,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
69,C,future,O,2,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
69,C,future,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,L,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
